ANNO,ATS STRUTTURA,CODICE STRUTTURA DI RICOVERO,DESCRIZIONE STRUTTURA DI RICOVERO,CODICE ACC DI DIAGNOSI 1,DESCRIZIONE ACC DI DIAGNOSI 1,DEGENZA MEDIA TOTALE,ACCESSI MEDI TOTALE
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030105-00,CASA DI CURA S. CAMILLO - MILANO,18,"CODICI RESIDUI, NON CLASSIFICATI",17.333333,1
2013,322 - ATS DELL'INSUBRIA,030030-00,OSPEDALE  VALDUCE ,5,MALATTIE MENTALI,6.241379,1.736842
2017,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,5.880952,1.011765
2014,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,5.5,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,5,MALATTIE MENTALI,11.559403,17.566108
2016,322 - ATS DELL'INSUBRIA,030029-00,OSP.SACRA FAMIGLIA - F.B.F. - ERBA,8,MALATTIE DEL SISTEMA RESPIRATORIO,9.452188,1
2014,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,5.884078,3.953704
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030058-00,OSPEDALE BASSINI - CINISELLO BALSAMO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,5.553653,1.383978
2017,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030056-00,PRESIDIO OSPED. V. BUZZI - MILANO,14,ANOMALIE CONGENITE,3.456322,1.041667
2017,328 - ATS DI PAVIA,030203-00,OSPEDALE ASILO VITTORIA - MORTARA,10,MALATTIE DEL SISTEMA GENITO-URINARIO,9.939759,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,8.146617,1.057143
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030073-00,OSPEDALE DI CIRCOLO - RHO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,7.605016,1.00678
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,9.184685,1.019409
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030112-00,IST.CLINICO S.AMBROGIO SPA-MILANO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,3.787671,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030119-00,IST.CLINICO S.SIRO SPA-MILANO,2,NEOPLASIE,7.846154,1
2016,322 - ATS DELL'INSUBRIA,030029-00,OSP.SACRA FAMIGLIA - F.B.F. - ERBA,1,MALATTIE INFETTIVE E PARASSITARIE,10.683824,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030947-00,I.R.C.C.S. POLICLINICO SAN DONATO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",8.233333,0
2015,328 - ATS DI PAVIA,030203-00,OSPEDALE ASILO VITTORIA - MORTARA,9,MALATTIE DELL'APPARATO DIGERENTE,8.660215,1.01087
2014,322 - ATS DELL'INSUBRIA,030282-02,OSPEDALE LUINI CONFALONIERI - LUINO,18,"CODICI RESIDUI, NON CLASSIFICATI",12.893939,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030079-00,OSPEDALE CIVICO - CODOGNO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,5.733333,1
2017,322 - ATS DELL'INSUBRIA,030029-00,OSP.SACRA FAMIGLIA - F.B.F. - ERBA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,3.8,1.045455
2017,326 - ATS DI BRESCIA,030159-00,PRESIDIO OSPEDALIERO DI MONTICHIARI,14,ANOMALIE CONGENITE,6.75,1
2016,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,2,NEOPLASIE,8.642371,1.130261
2013,322 - ATS DELL'INSUBRIA,030015-00,CASA DI CURA SANTA MARIA - CASTELLANZA,14,ANOMALIE CONGENITE,5,1
2012,322 - ATS DELL'INSUBRIA,030003-00,OSPEDALE F. DEL PONTE - VARESE,9,MALATTIE DELL'APPARATO DIGERENTE,4.75576,1.09
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030105-00,CASA DI CURA S. CAMILLO - MILANO,16,LESIONI E AVVELENAMENTO,3.267281,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030121-00,CASA DI CURA S. PIO X - MILANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,8.552941,1.37037
2017,328 - ATS DI PAVIA,030203-00,OSPEDALE ASILO VITTORIA - MORTARA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,5.827586,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,15,ALCUNE CONDIZIONI ORIGINATE NEL PERIODO PERINATALE,5.373333,0
2015,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,7.436709,1.65942
2012,325 - ATS DI BERGAMO,030147-00,POLICLINICO SAN MARCO S.R.L.-OSIO SOTTO,2,NEOPLASIE,7.554054,1.253061
2013,325 - ATS DI BERGAMO,030905-00,OSPEDALE PAPA GIOVANNI XXIII - BG,1,MALATTIE INFETTIVE E PARASSITARIE,14.775322,1.014925
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030916-00,OSPEDALE L. SACCO - MILANO,5,MALATTIE MENTALI,14.434109,1.785714
2016,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,9,MALATTIE DELL'APPARATO DIGERENTE,8.617213,1.854305
2012,324 - ATS DELLA BRIANZA,030107-00,ISTITUTI CLINICI ZUCCHI SPA-MONZA,14,ANOMALIE CONGENITE,2.037037,1
2014,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,7,MALATTIE DEL SISTEMA CIRCOLATORIO,5.930976,1.02
2014,324 - ATS DELLA BRIANZA,030034-00,CASA DI CURA G.B. MANGIONI - LECCO,9,MALATTIE DELL'APPARATO DIGERENTE,3.128378,1.231788
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030946-00,ISTITUTO ORTOPEDICO GALEAZZI SPA - MILANO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",3.064516,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030935-00,IRCCS    S. RAFFAELE - MILANO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.086044,1.003968
2014,323 - ATS DELLA MONTAGNA,030044-00,OSPEDALE DI CHIAVENNA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,7.555556,9
2015,327 - ATS DELLA VAL PADANA,030218-00,CASA DI CURA S. CAMILLO - CREMONA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,8.156004,1.090909
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,6.886364,1.013344
2013,326 - ATS DI BRESCIA,030163-00,PRESIDIO OSPEDALIERO DI ISEO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",6.180851,1
2015,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,10.10883,1
2014,328 - ATS DI PAVIA,030202-00,IST.DI CURA CITTA'DI PAVIA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,14.611765,1
2013,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,16,LESIONI E AVVELENAMENTO,7.600669,1.16129
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030079-00,OSPEDALE CIVICO - CODOGNO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,7.719178,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030110-00,CASA DI CURA S. GIOVANNI - MILANO,16,LESIONI E AVVELENAMENTO,1.886364,1
2012,323 - ATS DELLA MONTAGNA,030026-00,OSPEDALE ERBA-  RENALDI - MENAGGIO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,7.383333,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030121-00,CASA DI CURA S. PIO X - MILANO,2,NEOPLASIE,5.502101,2.023026
2014,324 - ATS DELLA BRIANZA,030909-00,OSPEDALE S.GERARDO - MONZA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,5.241696,1.870279
2015,325 - ATS DI BERGAMO,030382-00,OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO,14,ANOMALIE CONGENITE,1.25,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030943-00,IST. CLIN. HUMANITAS - ROZZANO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,3.546243,1
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030051-00,P.O.  CITTA' DI SESTO S. GIOVANNI,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.76789,1
2016,323 - ATS DELLA MONTAGNA,030031-00,OSP. MORIGGIA PELASCINI - GRAVEDONA,2,NEOPLASIE,7.373027,1.020979
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-01,OSPEDALE DI  VIZZOLO PREDABISSI,7,MALATTIE DEL SISTEMA CIRCOLATORIO,9,1
2017,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,9.816092,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-00,OSPEDALE S. MARIA DELLE STELLE MELZO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,3.693431,1.5
2017,322 - ATS DELL'INSUBRIA,030017-00,CASA DI CURA MATER DOMINI - CASTELLANZA,1,MALATTIE INFETTIVE E PARASSITARIE,7.186441,1
2012,322 - ATS DELL'INSUBRIA,030282-02,OSPEDALE LUINI CONFALONIERI - LUINO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.412821,1.722222
2012,328 - ATS DI PAVIA,030924-00,OSPEDALE POLICLINICO S. MATTEO - PAVIA,9,MALATTIE DELL'APPARATO DIGERENTE,6.527144,1.047098
2016,327 - ATS DELLA VAL PADANA,030218-00,CASA DI CURA S. CAMILLO - CREMONA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,10.685714,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030367-00,OSPEDALE S. GIUSEPPE - MILANO,14,ANOMALIE CONGENITE,1.84153,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030087-00,OSPEDALE CADUTI BOLLATESI - BOLLATE,2,NEOPLASIE,11.167442,1.007299
2012,327 - ATS DELLA VAL PADANA,030355-00,OSPEDALE DI SUZZARA S.P.A.,14,ANOMALIE CONGENITE,1.573333,1
2013,328 - ATS DI PAVIA,030199-00,CASA DI CURA S. MARIA GRAZIE,16,LESIONI E AVVELENAMENTO,1.777778,1
2017,327 - ATS DELLA VAL PADANA,030209-00,OSPEDALE MAGGIORE - CREMA,8,MALATTIE DEL SISTEMA RESPIRATORIO,8.242193,1
2013,322 - ATS DELL'INSUBRIA,030008-00,OSP. GENERALE PROVINCIALE - SARONNO,9,MALATTIE DELL'APPARATO DIGERENTE,7.426819,1.005556
2013,324 - ATS DELLA BRIANZA,030106-00,CASA DI CURA POLICLINICO - MONZA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,9.383721,1.135135
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,8.919565,1.03125
2017,326 - ATS DI BRESCIA,030167-00,OSPEDALE DEI BAMBINI - BRESCIA,1,MALATTIE INFETTIVE E PARASSITARIE,6.636364,1
2012,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,8,MALATTIE DEL SISTEMA RESPIRATORIO,7.754386,1.017857
2015,326 - ATS DI BRESCIA,030295-00,FONDAZIONE POLIAMBULANZA - BRESCIA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,4.342159,1.436031
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030943-00,IST. CLIN. HUMANITAS - ROZZANO,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,1.130435,1
2017,324 - ATS DELLA BRIANZA,030078-00,PRESIDIO OSPEDALIERO DI VIMERCATE,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,6.024096,1.071429
2015,324 - ATS DELLA BRIANZA,030381-00,FOND. MB PER IL BAMBINO E LA SUA MAMMA - MONZA,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,4.218531,1.103226
2017,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,7,MALATTIE DEL SISTEMA CIRCOLATORIO,6.924397,1
2013,323 - ATS DELLA MONTAGNA,030026-00,OSPEDALE ERBA-  RENALDI - MENAGGIO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,5.416667,1
2017,323 - ATS DELLA MONTAGNA,030044-00,OSPEDALE DI CHIAVENNA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,15.478261,1
2014,328 - ATS DI PAVIA,030938-00,FOND.MAUGERI-CENTRO MEDICO DI PAVIA,9,MALATTIE DELL'APPARATO DIGERENTE,3.631218,1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030914-00,OSPEDALE S. PAOLO - MILANO,14,ANOMALIE CONGENITE,5.276498,1.869565
2012,322 - ATS DELL'INSUBRIA,030003-00,OSPEDALE F. DEL PONTE - VARESE,16,LESIONI E AVVELENAMENTO,2.287582,1.375
2014,328 - ATS DI PAVIA,030924-00,POLICLINICO S. MATTEO - PAVIA,14,ANOMALIE CONGENITE,3.297048,1.010204
2012,322 - ATS DELL'INSUBRIA,030282-01,OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO,2,NEOPLASIE,8.887372,1.092593
2016,328 - ATS DI PAVIA,030924-00,POLICLINICO S. MATTEO - PAVIA,16,LESIONI E AVVELENAMENTO,6.368302,2.326087
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030129-00,OSPED. DI CIRCOLO SERBELLONI-GORGONZOLA,16,LESIONI E AVVELENAMENTO,8.6,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030057-00,OSPEDALE M. MELLONI - MILANO,14,ANOMALIE CONGENITE,1,1
2017,324 - ATS DELLA BRIANZA,030903-00,OSPEDALE DI CIRCOLO A. MANZONI - LECCO,2,NEOPLASIE,8.809041,1.103261
2014,325 - ATS DI BERGAMO,030145-00,CLINICA  CASTELLI - BERGAMO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,2.675926,1
2017,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,16,LESIONI E AVVELENAMENTO,6.356955,1
2014,325 - ATS DI BERGAMO,030144-00,CASA DI CURA BEATO PALAZZOLO - BERGAMO,14,ANOMALIE CONGENITE,1.035088,1
2014,327 - ATS DELLA VAL PADANA,030907-00,OSPEDALE C. POMA - MANTOVA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,7.467078,2.454545
2014,326 - ATS DI BRESCIA,030184-00,OSPEDALE DI MANERBIO,14,ANOMALIE CONGENITE,2.521739,1
2017,327 - ATS DELLA VAL PADANA,030908-00,ISTITUTI OSPITALIERI - CREMONA,9,MALATTIE DELL'APPARATO DIGERENTE,7.676913,1.044586
2016,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,1,MALATTIE INFETTIVE E PARASSITARIE,13.885906,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030121-00,CASA DI CURA S. PIO X - MILANO,18,"CODICI RESIDUI, NON CLASSIFICATI",1.738636,1.021739
2013,322 - ATS DELL'INSUBRIA,030901-00,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",7.103753,1.25
2013,322 - ATS DELL'INSUBRIA,030282-01,OSPED.CIRCOLO CAUSA PIA LUVINI-CITTIGLIO,9,MALATTIE DELL'APPARATO DIGERENTE,4.769133,1.007634
2017,323 - ATS DELLA MONTAGNA,030031-00,OSP. MORIGGIA PELASCINI - GRAVEDONA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,32.157034,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030074-00,OSPEDALE CIVILE G. FORNAROLI - MAGENTA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,10.049315,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030915-00,OSPEDALE S. CARLO BORROMEO - MILANO,1,MALATTIE INFETTIVE E PARASSITARIE,14.256849,1
2014,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030058-00,OSPEDALE BASSINI - CINISELLO BALSAMO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,8.586207,2.074074
2017,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,9,MALATTIE DELL'APPARATO DIGERENTE,6.369482,1
2017,326 - ATS DI BRESCIA,030178-00,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.644052,1
2012,322 - ATS DELL'INSUBRIA,030038-00,CASA DI CURA LE BETULLE-APPIANO GENTILE,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,3,0
2017,324 - ATS DELLA BRIANZA,030068-00,PRESIDIO OSPEDALIERO DI DESIO,11,COMPLICAZIONI DELLA GRAVIDANZA; PARTO; E IL PUERPERIO,3.893387,1.045131
2012,325 - ATS DI BERGAMO,030133-00,OSPEDALE PESENTI FENAROLI - ALZANO L.,7,MALATTIE DEL SISTEMA CIRCOLATORIO,7.805755,1
2014,326 - ATS DI BRESCIA,030163-00,PRESIDIO OSPEDALIERO DI ISEO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,3.735632,1
2017,325 - ATS DI BERGAMO,030138-00,OSP.LE SS.TRINITA'-ROMANO DI LOMBARDIA,9,MALATTIE DELL'APPARATO DIGERENTE,7.456258,1
2014,326 - ATS DI BRESCIA,030184-00,OSPEDALE DI MANERBIO,9,MALATTIE DELL'APPARATO DIGERENTE,5.966926,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030916-00,OSPEDALE L. SACCO - MILANO,9,MALATTIE DELL'APPARATO DIGERENTE,9.001078,1.384155
2015,324 - ATS DELLA BRIANZA,030078-00,PRESIDIO OSPEDALIERO DI VIMERCATE,7,MALATTIE DEL SISTEMA CIRCOLATORIO,8.891476,2
2012,328 - ATS DI PAVIA,030198-00,CASA DI CURA BEATO MATTEO,14,ANOMALIE CONGENITE,3.166667,1
2017,328 - ATS DI PAVIA,030194-00,OSPEDALE CIVILE - VOGHERA,2,NEOPLASIE,9.336683,1
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030119-00,IST.CLINICO S.SIRO SPA-MILANO,1,MALATTIE INFETTIVE E PARASSITARIE,11.2,1
2015,328 - ATS DI PAVIA,030203-00,OSPEDALE ASILO VITTORIA - MORTARA,10,MALATTIE DEL SISTEMA GENITO-URINARIO,9.298246,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030116-00,CLINICA SAN CARLO - PADERNO DUGNANO,8,MALATTIE DEL SISTEMA RESPIRATORIO,12.974684,1
2016,326 - ATS DI BRESCIA,030178-00,IST.CLIN. CITTA' DI BRESCIA - BRESCIA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,14.316252,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030058-00,OSPEDALE BASSINI - CINISELLO BALSAMO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,12.431034,5.22973
2017,327 - ATS DELLA VAL PADANA,030907-00,OSPEDALE C. POMA - MANTOVA,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,9.574713,5.1
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030067-00,OSPEDALE MAGGIORE DI LODI,1,MALATTIE INFETTIVE E PARASSITARIE,10.047458,1
2015,322 - ATS DELL'INSUBRIA,030364-00,FOND. GAETANO E PIERA BORGHI - BREBBIA,16,LESIONI E AVVELENAMENTO,35.632588,0
2013,328 - ATS DI PAVIA,030193-00,OSPEDALE CIVILE - VIGEVANO,1,MALATTIE INFETTIVE E PARASSITARIE,9.641304,1
2017,327 - ATS DELLA VAL PADANA,030227-01,PRESIDIO OSPEDALIERO - ASOLA,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,3.85,1
2017,324 - ATS DELLA BRIANZA,030903-00,OSPEDALE DI CIRCOLO A. MANZONI - LECCO,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,8.121914,2.166667
2012,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030910-00,OSPEDALE FATEBENEFRATELLI E OFTALMICO,10,MALATTIE DEL SISTEMA GENITO-URINARIO,6.818493,1.087591
2013,325 - ATS DI BERGAMO,030146-00,CASA DI CURA S. FRANCESCO - BERGAMO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,16.079585,1
2012,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,6.757576,1.248062
2014,322 - ATS DELL'INSUBRIA,030364-00,FOND. GAETANO E PIERA BORGHI - BREBBIA,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,33.720238,0
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030071-01,OSPEDALE S. MARIA DELLE STELLE MELZO,2,NEOPLASIE,9.410256,1
2017,325 - ATS DI BERGAMO,030138-00,OSP.LE SS.TRINITA'-ROMANO DI LOMBARDIA,18,"CODICI RESIDUI, NON CLASSIFICATI",4.315789,1
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030087-00,OSPEDALE CADUTI BOLLATESI - BOLLATE,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,18.237113,4.336449
2016,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030110-00,CASA DI CURA S. GIOVANNI - MILANO,2,NEOPLASIE,1.142857,1
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030936-01,IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILANO,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,8.1875,7.117647
2017,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030913-00,OSPEDALE CA' GRANDA-NIGUARDA - MILANO,18,"CODICI RESIDUI, NON CLASSIFICATI",3.798206,5.621849
2013,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030051-00,P.O.  CITTA' DI SESTO S. GIOVANNI,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",8.398305,2.8
2016,325 - ATS DI BERGAMO,030131-00,OSPEDALE DI TREVIGLIO E CARAVAGGIO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,4.508197,1
2013,326 - ATS DI BRESCIA,030154-01,PRESIDIO OSPEDALIERO DI CHIARI,8,MALATTIE DEL SISTEMA RESPIRATORIO,5.659543,1
2012,325 - ATS DI BERGAMO,030134-00,OSPEDALE F. M. PASSI - CALCINATE,7,MALATTIE DEL SISTEMA CIRCOLATORIO,5.062937,1
2014,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,17,SINTOMI; SEGNI; E LE CONDIZIONI E FATTORI CHE INFLUENZANO LO STATO DI SALUTE MAL DEFINITO,4.6875,1.060606
2014,322 - ATS DELL'INSUBRIA,030902-00,OSPEDALE S. ANNA - COMO,6,MALATTIE DEL SISTEMA NERVOSO E ORGANI DI SENSO,7.72332,4.514706
2016,326 - ATS DI BRESCIA,030906-00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,9,MALATTIE DELL'APPARATO DIGERENTE,7.535794,1.179028
2017,325 - ATS DI BERGAMO,030140-00,OSPEDALE BOLOGNINI - SERIATE,12,MALATTIE DELLA PELLE E DEL TESSUTO SOTTOCUTANEO,7.666667,1.028571
2017,328 - ATS DI PAVIA,030202-00,IST.DI CURA CITTA'DI PAVIA,13,MALATTIE DEL SISTEMA MUSCOLO-SCHELETRICO E DEL TESSUTO CONNETTIVO,7.287719,1.038462
2015,321 - ATS DELLA CITTA' METROPOLITANA DI MILANO,030072-01,OSPEDALE DI  VIZZOLO PREDABISSI,16,LESIONI E AVVELENAMENTO,7.135854,1.516129
2013,327 - ATS DELLA VAL PADANA,030259-00,CASA DI CURA S. CLEMENTE - MANTOVA,9,MALATTIE DELL'APPARATO DIGERENTE,3.84918,1
2015,325 - ATS DI BERGAMO,030132-00,OSPEDALE CIVILE - S.GIOVANNI BIANCO,3,"MALATTIE E DISTURBI ENDOCRINI, NUTRIZIONALI, METABOLICI E IMMUNITARI",6.555556,1
