ANNO,CODICE_ATS_EROGAZIONE,DESCRIZIONE_ATS_EROGAZIONE,ATC_LIVELLO_1,DESCRIZIONE_ATC_LIVELLO_1,ATC_LIVELLO_2,DESCRIZIONE_ATC_LIVELLO_2,CONF_PER_ PRIMI_10_ATC_LIVELLO2
2014,324,ATS DELLA BRIANZA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,190204
2016,326,ATS DI BRESCIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,124090
2016,326,ATS DI BRESCIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,629417
2017,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,20471
2012,323,ATS DELLA MONTAGNA,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,250595
2012,326,ATS DI BRESCIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,6720
2013,325,ATS DI BERGAMO,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,9036
2013,325,ATS DI BERGAMO,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,164090
2014,30,REGIONE LOMBARDIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,2246250
2014,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,248495
2014,322,ATS DELL'INSUBRIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,42144
2014,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,153
2014,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,117174
2015,326,ATS DI BRESCIA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",6454
2017,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A05,TERAPIA BILIARE ED EPATICA,62852
2017,326,ATS DI BRESCIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A09,"DIGESTIVI, INCLUSI GLI ENZIMI",17078
2017,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,497603
2012,322,ATS DELL'INSUBRIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A11,VITAMINE,179698
2012,327,ATS DELLA VAL PADANA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,96561
2013,324,ATS DELLA BRIANZA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,35532
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,803088
2014,323,ATS DELLA MONTAGNA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,1934
2014,325,ATS DI BERGAMO,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,491510
2015,326,ATS DI BRESCIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,5833
2017,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,144915
2012,323,ATS DELLA MONTAGNA,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,140729
2012,326,ATS DI BRESCIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,6063
2012,327,ATS DELLA VAL PADANA,C,SISTEMA CARDIOVASCOLARE,C01,TERAPIA CARDIACA,359551
2013,324,ATS DELLA BRIANZA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,285551
2013,324,ATS DELLA BRIANZA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,595
2014,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,5351
2014,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",148616
2015,30,REGIONE LOMBARDIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,42940
2015,326,ATS DI BRESCIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,1705
2016,30,REGIONE LOMBARDIA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,9219996
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,459125
2017,326,ATS DI BRESCIA,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,446643
2017,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B06,ALTRI AGENTI EMATOLOGICI,462
2012,322,ATS DELL'INSUBRIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A04,ANTIEMETICI E ANTINAUSEA,9211
2012,322,ATS DELL'INSUBRIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A07,"ANTIDIARROICI, ANTINFIAMMATORI E ANTINFETTIVI INTESTINALI",198453
2013,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,49732
2013,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,4346
2014,322,ATS DELL'INSUBRIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,2726
2014,327,ATS DELLA VAL PADANA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,10071
2014,328,ATS DI PAVIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A02,FARMACI PER I DISTURBI CORRELATI ALLA SECREZIONE ACIDA,1307228
2015,326,ATS DI BRESCIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,580655
2017,328,ATS DI PAVIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,5212
2012,322,ATS DELL'INSUBRIA,A,APPARATO GASTROINTESTINALE E METABOLISMO,A06,FARMACI PER LA COSTIPAZIONE,7
2012,327,ATS DELLA VAL PADANA,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,453668
2013,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,2677933
2013,30,REGIONE LOMBARDIA,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,859983
2013,324,ATS DELLA BRIANZA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,265703
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,2154
2014,325,ATS DI BERGAMO,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,194229
2013,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,5275
2013,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,29263
2013,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,591977
2013,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,876
2016,325,ATS DI BERGAMO,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,64561
2016,327,ATS DELLA VAL PADANA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,3983
2014,323,ATS DELLA MONTAGNA,C,SISTEMA CARDIOVASCOLARE,C08,CALCIOANTAGONISTI,249151
2014,327,ATS DELLA VAL PADANA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,1125
2015,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,597
2016,325,ATS DI BERGAMO,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,578
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,3242390
2012,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,1658
2013,30,REGIONE LOMBARDIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,305934
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,29736
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,2828
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,282067
2015,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,157618
2017,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,2853
2012,323,ATS DELLA MONTAGNA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,115294
2012,325,ATS DI BERGAMO,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,108657
2013,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,113731
2013,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,1450241
2014,322,ATS DELL'INSUBRIA,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,179694
2015,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,564
2017,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,86740
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,6101
2013,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,2154906
2013,325,ATS DI BERGAMO,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,18939
2013,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N07,ALTRI FARMACI DEL SISTEMA NERVOSO,10516
2013,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,4744
2014,322,ATS DELL'INSUBRIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,6700
2014,322,ATS DELL'INSUBRIA,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,9932
2014,327,ATS DELLA VAL PADANA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,537
2014,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,179118
2015,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,2037
2015,324,ATS DELLA BRIANZA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,8652
2016,324,ATS DELLA BRIANZA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,82225
2012,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,48070
2013,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,561548
2013,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,60486
2013,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,31282
2014,323,ATS DELLA MONTAGNA,C,SISTEMA CARDIOVASCOLARE,C10,SOSTANZE MODIFICATRICI DEI LIPIDI,388960
2015,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,47639
2015,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,46433
2016,326,ATS DI BRESCIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,37247
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,4003
2017,325,ATS DI BERGAMO,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,638
2012,323,ATS DELLA MONTAGNA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G02,ALTRI GINECOLOGICI,2132
2012,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,23650
2013,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,2382004
2013,328,ATS DI PAVIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,3979
2014,322,ATS DELL'INSUBRIA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,1570
2014,323,ATS DELLA MONTAGNA,C,SISTEMA CARDIOVASCOLARE,C02,ANTIPERTENSIVI,42078
2014,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,95099
2015,327,ATS DELLA VAL PADANA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,9197
2015,327,ATS DELLA VAL PADANA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,143107
2015,327,ATS DELLA VAL PADANA,N,SISTEMA NERVOSO,N02,ANALGESICI,257541
2016,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,1275134
2013,325,ATS DI BERGAMO,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,60173
2013,328,ATS DI PAVIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,25312
2014,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,33382
2015,327,ATS DELLA VAL PADANA,N,SISTEMA NERVOSO,N05,PSICOLETTICI,82279
2016,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,15289
2016,325,ATS DI BERGAMO,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,33173
2012,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,52474
2014,327,ATS DELLA VAL PADANA,D,DERMATOLOGICI,D05,ANTIPSORIASICI,22892
2014,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,4674
2015,324,ATS DELLA BRIANZA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H04,ORMONI PANCREATICI,653
2015,328,ATS DI PAVIA,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,165372
2013,30,REGIONE LOMBARDIA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,107155
2014,327,ATS DELLA VAL PADANA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,5297
2014,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H05,CALCIO-OMEOSTATICI,1300
2015,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B06,ALTRI AGENTI EMATOLOGICI,4
2015,327,ATS DELLA VAL PADANA,N,SISTEMA NERVOSO,N04,ANTIPARKINSONIANI,103929
2012,322,ATS DELL'INSUBRIA,D,DERMATOLOGICI,D06,ANTIBIOTICI E CHEMIOTERAPICI PER USO DERMATOLOGICO,511
2012,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,98676
2012,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,40770
2012,326,ATS DI BRESCIA,B,SANGUE E ORGANI EMOPOIETICI,B03,FARMACI ANTIANEMICI,172956
2012,328,ATS DI PAVIA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,965
2013,325,ATS DI BERGAMO,B,SANGUE E ORGANI EMOPOIETICI,B06,ALTRI AGENTI EMATOLOGICI,6
2013,325,ATS DI BERGAMO,N,SISTEMA NERVOSO,N01,ANESTETICI,955
2013,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J06,SIERI IMMUNI ED IMMUNOGLOBULINE,3756
2014,322,ATS DELL'INSUBRIA,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,395710
2015,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,14040
2015,324,ATS DELLA BRIANZA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,282728
2015,327,ATS DELLA VAL PADANA,N,SISTEMA NERVOSO,N03,ANTIEPILETTICI,261218
2016,324,ATS DELLA BRIANZA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,1721
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,12679
2012,322,ATS DELL'INSUBRIA,D,DERMATOLOGICI,D01,ANTIMICOTICI PER USO DERMATOLOGICO,10298
2012,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L03,IMMUNOSTIMOLANTI,4958
2012,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J01,ANTIBATTERICI PER USO SISTEMICO,1241678
2012,326,ATS DI BRESCIA,B,SANGUE E ORGANI EMOPOIETICI,B02,ANTIEMORRAGICI,21703
2013,322,ATS DELL'INSUBRIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,6030
2013,323,ATS DELLA MONTAGNA,R,SISTEMA RESPIRATORIO,R05,PREPARATI PER LA TOSSE E LE MALATTIE DA RAFFREDDAMENTO,787
2013,323,ATS DELLA MONTAGNA,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,46880
2014,327,ATS DELLA VAL PADANA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",8394
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,S,ORGANI DI SENSO,S01,OFTALMOLOGICI,823558
2015,322,ATS DELL'INSUBRIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,50650
2015,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H02,CORTICOSTEROIDI SISTEMICI,175979
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,11559
2017,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,41190
2017,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,31946
2017,325,ATS DI BERGAMO,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,65287
2012,323,ATS DELLA MONTAGNA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G03,ORMONI SESSUALI E MODULATORI DEL SISTEMA GENITALE,52237
2013,323,ATS DELLA MONTAGNA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,146954
2013,328,ATS DI PAVIA,G,SISTEMA GENITO-URINARIO ED ORMONI SESSUALI,G04,UROLOGICI,228781
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,M,SISTEMA MUSCOLO-SCHELETRICO,M03,MIORILASSANTI,22538
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,M,SISTEMA MUSCOLO-SCHELETRICO,M05,FARMACI PER IL TRATTAMENTO DELLE MALATTIE DELLE OSSA,448174
2014,322,ATS DELL'INSUBRIA,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,23745
2015,30,REGIONE LOMBARDIA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P02,ANTIELMINTICI,62563
2015,322,ATS DELL'INSUBRIA,B,SANGUE E ORGANI EMOPOIETICI,B01,ANTITROMBOTICI,1287242
2015,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H01,ORMONI IPOFISARI ED IPOTALAMICI ED ANALOGHI,3878
2012,322,ATS DELL'INSUBRIA,D,DERMATOLOGICI,D07,"CORTICOSTEROIDI, PREPARATI DERMATOLOGICI",11039
2013,326,ATS DI BRESCIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,4950
2014,322,ATS DELL'INSUBRIA,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,74686
2016,324,ATS DELLA BRIANZA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L01,ANTINEOPLASTICI,31753
2016,326,ATS DI BRESCIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,34863
2012,328,ATS DI PAVIA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,247936
2013,328,ATS DI PAVIA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,2550
2014,323,ATS DELLA MONTAGNA,C,SISTEMA CARDIOVASCOLARE,C07,BETABLOCCANTI,305583
2015,327,ATS DELLA VAL PADANA,N,SISTEMA NERVOSO,N06,PSICOANALETTICI,480262
2016,326,ATS DI BRESCIA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L02,TERAPIA ENDOCRINA,72889
2016,327,ATS DELLA VAL PADANA,P,"FARMACI ANTIPARASSITARI, INSETTICIDI E REPELLENTI",P01,ANTIPROTOZOARI,25481
2012,326,ATS DI BRESCIA,B,SANGUE E ORGANI EMOPOIETICI,B05,SUCCEDANEI DEL SANGUE E SOLUZIONI PERFUSIONALI,54922
2012,326,ATS DI BRESCIA,B,SANGUE E ORGANI EMOPOIETICI,B06,ALTRI AGENTI EMATOLOGICI,4
2014,323,ATS DELLA MONTAGNA,M,SISTEMA MUSCOLO-SCHELETRICO,M04,ANTIGOTTOSI,32017
2014,327,ATS DELLA VAL PADANA,H,"PREPARATI ORMONALI SISTEMICI, ESCLUSI ORMONI SESSUALI E INSU",H03,TERAPIA TIROIDEA,150987
2016,30,REGIONE LOMBARDIA,R,SISTEMA RESPIRATORIO,R03,FARMACI PER LE SINDROMI OSTRUTTIVE DELLE VIE RESPIRATORIE,4686886
2016,324,ATS DELLA BRIANZA,L,FARMACI ANTINEOPLASTICI ED IMMUNOMODULATORI,L04,IMMUNOSOPPRESSIVI,46753
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J02,ANTIMICOTICI PER USO SISTEMICO,135922
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,J,ANTINFETTIVI PER USO SISTEMICO,J05,ANTIVIRALI PER USO SISTEMICO,76318
2012,322,ATS DELL'INSUBRIA,D,DERMATOLOGICI,D10,PREPARATI ANTIACNE,3058
2012,324,ATS DELLA BRIANZA,J,ANTINFETTIVI PER USO SISTEMICO,J04,ANTIMICOBATTERICI,4472
2012,328,ATS DI PAVIA,R,SISTEMA RESPIRATORIO,R06,ANTISTAMINICI PER USO SISTEMICO,76704
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,M,SISTEMA MUSCOLO-SCHELETRICO,M01,FARMACI ANTINFIAMMATORI ED ANTIREUMATICI,973026
